image,side,first_name,last_name,gender,national_id,issue_date,expiration_date,address,address2,job_title,religion,marital_status
ID0.png,front,عبدالرحمن,عدي محمد رياض رؤوف,,٢٦٤٠٩٢٢٦٣٥١٧٠٤,,,٧٧ ش الوحدة,قسم قنا - قنا,,,
IDB0.png,back,,,ذكر,٢٦٤٠٩٢٢٦٣٥١٧٠٤,٢٠٢٣/٠٧,٢٠٣٠/٠٦/٣١,,,كهربائي,مسلم,أرمل
ID1.png,front,عصام,إدريس علي وليد عصام,,٣٠٦١١١١٨٠٤٦٨٠٨,,,١٠٨ ش عدن,قسم الخارجة - الوادي الجديد,,,
IDB1.png,back,,,ذكر,٣٠٦١١١١٨٠٤٦٨٠٨,٢٠١٧/٠٣,٢٠٢٤/٠٢/٣١,,,موظف حكومي,مسلم,متزوج
ID2.png,front,جلال,وائل فادي نور إلياس,,٢٦٦٠٢٢١٣٢٢٠٩١٨,,,٢٣ ش الملكة نازلي,قسم طهطا - سوهاج,,,
IDB2.png,back,,,ذكر,٢٦٦٠٢٢١٣٢٢٠٩١٨,٢٠١٧/١٢,٢٠٢٤/١١/٣١,,,موظف,مسيحي,أرمل
ID3.png,front,سهاد,جلال هاني مرقس رائد,,٣٠٤١١١٩٩٦١٦٦٧٤,,,١٠ ش الجمهورية,قسم ميت غمر - الدقهلية,,,
IDB3.png,back,,,أنثى,٣٠٤١١١٩٩٦١٦٦٧٤,٢٠٢٠/٠٦,٢٠٢٧/٠٥/٣١,,,بالمعاش,مسيحية,متزوجة
ID4.png,front,عبدالرحمن,مراد عمرو ناصر نواف,,٣٠٦٠٢٢١٥١٩٩٦٦٨,,,٧٧ شارع عدن,قسم الغردقة - البحر الأحمر,,,
IDB4.png,back,,,ذكر,٣٠٦٠٢٢١٥١٩٩٦٦٨,٢٠٢٢/٠٩,٢٠٢٩/٠٨/٣١,,,موظف قطاع خاص,مسلم,متزوج
a_IDB0_1.png,back,,,ذكر,٢٦٤٠٩٢٢٦٣٥١٧٠٤,٢٠٢٣/٠٧,٢٠٣٠/٠٦/٣١,,,كهربائي,مسلم,أرمل
a_IDB0_2.png,back,,,ذكر,٢٦٤٠٩٢٢٦٣٥١٧٠٤,٢٠٢٣/٠٧,٢٠٣٠/٠٦/٣١,,,كهربائي,مسلم,أرمل
a_IDB1_1.png,back,,,ذكر,٣٠٦١١١١٨٠٤٦٨٠٨,٢٠١٧/٠٣,٢٠٢٤/٠٢/٣١,,,موظف حكومي,مسلم,متزوج
a_IDB1_2.png,back,,,ذكر,٣٠٦١١١١٨٠٤٦٨٠٨,٢٠١٧/٠٣,٢٠٢٤/٠٢/٣١,,,موظف حكومي,مسلم,متزوج
