image,side,field_name,text
front_first_name_0.png,front,first_name,علي
front_last_name_0.png,front,last_name,خالد رشيد جهاد سليمان
front_address_0.png,front,address,١٩٨ ش عدن
front_address2_0.png,front,address2,قسم الخارجة - الوادي الجديد
front_national_id_0.png,front,national_id,٢ ٨٢ ١٢ ٢٠ ٦٩٩٦٨٨٢
back_national_id_0.png,back,national_id,٢ ٨٢ ١٢ ٢٠ ٦٩٩٦٨٨٢
back_issue_date_0.png,back,issue_date,٢٠٢٢/٠١
back_expiration_date_0.png,back,expiration_date,٢٠٢٩/٠١/٣١
back_job_title_0.png,back,job_title,جندي
back_gender_0.png,back,gender,ذكر
back_religion_0.png,back,religion,مسلم
back_marital_status_0.png,back,marital_status,اعزب
front_first_name_1.png,front,first_name,رافت
front_last_name_1.png,front,last_name,عماد هاني رافت بطرس،
front_address_1.png,front,address,١٦٩ ش الوحدة
front_address2_1.png,front,address2,قسم ثاني الإسماعيلية - الإسماعيلية
front_national_id_1.png,front,national_id,٢ ٨٥ ٠٨ ٠٦ ٣٦٧٠٢٩٦
back_national_id_1.png,back,national_id,٢ ٨٥ ٠٨ ٠٦ ٣٦٧٠٢٩٦
back_issue_date_1.png,back,issue_date,٢٠٢٣/٠٨
back_expiration_date_1.png,back,expiration_date,٢٠٣٠/٠٧/٣١
back_job_title_1.png,back,job_title,سباك
back_gender_1.png,back,gender,ذكر
back_religion_1.png,back,religion,مسيحي
back_marital_status_1.png,back,marital_status,أرمل
front_first_name_2.png,front,first_name,عمري
front_last_name_2.png,front,last_name,مالك نور بطرس، سرحان
front_address_2.png,front,address,١١٣ شارع المعز
front_address2_2.png,front,address2,قسم الطور - جنوب سيناء
front_national_id_2.png,front,national_id,٢ ٦٥ ٠٩ ١٨ ٢٣٧٧٣٤٤
back_national_id_2.png,back,national_id,٢ ٦٥ ٠٩ ١٨ ٢٣٧٧٣٤٤
back_issue_date_2.png,back,issue_date,٢٠٢٣/١١
back_expiration_date_2.png,back,expiration_date,٢٠٣٠/١٠/٣١
back_job_title_2.png,back,job_title,ميكانيكي
back_gender_2.png,back,gender,ذكر
back_religion_2.png,back,religion,مسيحي
back_marital_status_2.png,back,marital_status,متزوج
front_first_name_3.png,front,first_name,مريم
front_last_name_3.png,front,last_name,كامل كامل حبيب بطرس،
front_address_3.png,front,address,١٨٧ شارع الميرغني
front_address2_3.png,front,address2,قسم ثاني الإسماعيلية - الإسماعيلية
front_national_id_3.png,front,national_id,٢ ٧٠ ١٢ ٢٣ ٧٤٦٤٠١٦
back_national_id_3.png,back,national_id,٢ ٧٠ ١٢ ٢٣ ٧٤٦٤٠١٦
back_issue_date_3.png,back,issue_date,٢٠١٦/٠٩
back_expiration_date_3.png,back,expiration_date,٢٠٢٣/٠٨/٣١
back_job_title_3.png,back,job_title,طبيبة
back_gender_3.png,back,gender,أنثى
back_religion_3.png,back,religion,مسيحية
back_marital_status_3.png,back,marital_status,أرملة
front_first_name_4.png,front,first_name,سوسن
front_last_name_4.png,front,last_name,عماد مرقس مينا جرجس
front_address_4.png,front,address,٦٠ شارع النصر
front_address2_4.png,front,address2,قسم الخارجة - الوادي الجديد
front_national_id_4.png,front,national_id,٢ ٧٩ ٠٩ ٣٠ ٨٠٥٣٣٦٢
back_national_id_4.png,back,national_id,٢ ٧٩ ٠٩ ٣٠ ٨٠٥٣٣٦٢
back_issue_date_4.png,back,issue_date,٢٠٢١/٠٣
back_expiration_date_4.png,back,expiration_date,٢٠٢٨/٠٢/٣١
back_job_title_4.png,back,job_title,عاملة
back_gender_4.png,back,gender,أنثى
back_religion_4.png,back,religion,مسيحية
back_marital_status_4.png,back,marital_status,أرملة
